Sample Name	% Dups	% GC	Length	% Failed	M Seqs
day0_H3_16M	19.90%	41%	50 bp	8%	16
day0_Input_16M	17.40%	39%	50 bp	8%	16
day0_k27ac_rep1_16M	14.60%	41%	50 bp	0%	16
day0_k27ac_rep2_16M	10.90%	40%	50 bp	8%	16
day0_k27me3_rep1_16M	22.60%	40%	50 bp	8%	16
day0_k27me3_rep2_16M	22.80%	39%	50 bp	8%	16
day0_k4me3_rep1_16M	19.90%	42%	50 bp	0%	16
day0_k4me3_rep2_16M	18.40%	42%	50 bp	8%	16
day0_k9me2_rep1_16M	38.40%	42%	50 bp	8%	16
day0_k9me2_rep2_16M	37.30%	41%	50 bp	8%	16
day1_H3_16M	19.90%	40%	50 bp	8%	16
day1_Input_16M	53.10%	40%	50 bp	17%	16
day1_k27ac_rep1_16M	16.50%	41%	50 bp	8%	16
day1_k27ac_rep2_16M	13.80%	41%	50 bp	8%	16
day1_k27me3_rep1_16M	24.70%	39%	50 bp	8%	16
day1_k27me3_rep2_16M	25.20%	39%	50 bp	8%	16
day1_k4me3_rep1_16M	22.80%	42%	50 bp	8%	16
day1_k4me3_rep2_16M	19.60%	42%	50 bp	8%	16
day1_k9me2_rep1_16M	42.20%	41%	50 bp	17%	16
day1_k9me2_rep2_16M	42.10%	40%	50 bp	8%	16
day4_H3_16M	17.20%	38%	50 bp	17%	16
day4_Input_16M	26.60%	37%	50 bp	8%	16
day4_k27ac_rep1_16M	13.80%	39%	50 bp	0%	16
day4_k27ac_rep2_16M	12.10%	39%	50 bp	8%	16
day4_k27me3_rep1_16M	21.70%	38%	50 bp	8%	16
day4_k27me3_rep2_16M	21.90%	38%	50 bp	8%	16
day4_k4me3_rep1_16M	16.70%	40%	50 bp	0%	16
day4_k4me3_rep2_16M	15.70%	41%	50 bp	8%	16
day4_k9me2_rep1_16M	33.90%	40%	50 bp	8%	16
day4_k9me2_rep2_16M	36.10%	40%	50 bp	8%	16
day7_H3_16M	19.80%	40%	50 bp	8%	16
day7_Input_16M	23.30%	37%	50 bp	17%	16
day7_k27ac_rep1_16M	15.20%	39%	50 bp	0%	16
day7_k27ac_rep2_16M	13.00%	39%	50 bp	8%	16
day7_k27me3_rep1_16M	21.60%	38%	50 bp	8%	16
day7_k27me3_rep2_16M	20.90%	38%	50 bp	8%	16
day7_k4me3_rep1_16M	19.80%	40%	50 bp	0%	16
day7_k4me3_rep2_16M	17.40%	40%	50 bp	8%	16
day7_k9me2_rep1_16M	35.00%	40%	50 bp	8%	16
day7_k9me2_rep2_16M	39.90%	41%	50 bp	17%	16
