
Sample Name	% Dups	% GC	Length	% Failed	M Seqs
S1	20.2%	39%	50 bp	8%	21.3
S2	22.4%	41%	50 bp	8%	21.4
S3	35.5%	42%	50 bp	0%	46.2
S4	22.4%	42%	50 bp	8%	21.0
S5	24.2%	41%	50 bp	0%	39.3
S6	13.7%	40%	50 bp	8%	21.0
S7	27.1%	40%	50 bp	8%	21.6
S8	28.4%	39%	50 bp	8%	22.9
S9	40.3%	42%	50 bp	8%	18.0
S10	41.0%	41%	50 bp	8%	20.2
S11	56.2%	40%	50 bp	17%	19.2
S12	21.4%	40%	50 bp	8%	17.9
S13	33.5%	42%	50 bp	8%	33.3
S14	23.2%	42%	50 bp	8%	19.7
S15	24.8%	41%	50 bp	8%	36.1
S16	17.3%	41%	50 bp	8%	21.9
S17	28.5%	39%	50 bp	8%	19.2
S18	31.1%	39%	50 bp	8%	21.7
S19	48.0%	41%	50 bp	17%	22.2
S20	48.1%	40%	50 bp	17%	22.7
S21	30.0%	37%	50 bp	8%	21.9
S22	20.2%	38%	50 bp	17%	20.6
S23	27.2%	40%	50 bp	0%	38.2
S24	19.0%	41%	50 bp	8%	20.4
S25	21.3%	39%	50 bp	0%	35.3
S26	13.8%	39%	50 bp	8%	18.8
S27	24.5%	38%	50 bp	8%	19.2
S28	25.3%	38%	50 bp	8%	20.5
S29	36.2%	40%	50 bp	8%	18.0
S30	38.6%	40%	50 bp	8%	18.3
S31	28.2%	37%	50 bp	25%	25.7
S32	21.0%	40%	50 bp	8%	17.4
S33	30.2%	40%	50 bp	0%	35.1
S34	21.6%	40%	50 bp	8%	20.9
S35	22.4%	39%	50 bp	0%	33.1
S36	15.2%	39%	50 bp	8%	19.9
S37	23.9%	38%	50 bp	8%	18.4
S38	23.9%	38%	50 bp	8%	19.1
S39	38.2%	40%	50 bp	8%	19.6
S40	44.8%	41%	50 bp	17%	22.8
